Site_ID,Date,Day,Stream,Pool,Week,ToD,Sky,Xelo,Atya,Macro,Total
QPA 1,1-Jul-19,0.00,A,1,1,Diurnal,sunny,61,3,1,65
QPA 4,1-Jul-19,0.00,A,1,4,Diurnal,sunny,32,0,0,32
QPA 5,1-Jul-19,0.00,A,1,5,Diurnal,sunny,23,4,1,28
QPA 6,1-Jul-19,0.00,A,1,6,Diurnal,sunny,20,1,0,21
QPB 1,1-Jul-19,0.00,B,1,1,Diurnal,Sunny,14,0,0,14
QPB 2,1-Jul-19,0.00,B,1,2,Diurnal,Sunny,23,3,0,26
QPB 5,1-Jul-19,0.00,B,1,5,Diurnal,Sunny,2,1,0,3
QPB 11,1-Jul-19,0.00,B,1,11,Diurnal,Sunny,15,2,0,17
QPB 13,1-Jul-19,0.00,B,1,13,Diurnal,Sunny,1,1,0,2
QPA 1,2-Jul-19,1.00,A,1,1,Nocturnal,n/a,353,1,0,354
QPA 4,2-Jul-19,1.00,A,1,4,Nocturnal,n/a,58,8,0,66
QPA 5,2-Jul-19,1.00,A,1,5,Nocturnal,n/a,61,9,0,70
QPA 6,2-Jul-19,1.00,A,1,6,Nocturnal,n/a,250,22,0,272
QPA 7,2-Jul-19,1.00,A,1,7,Nocturnal,n/a,251,51,3,305
QPB 1,2-Jul-19,1.00,B,1,1,Nocturnal,n/a,80,35,0,115
QPB 2,2-Jul-19,1.00,B,1,2,Nocturnal,n/a,10,28,0,38
QPB 5,2-Jul-19,1.00,B,1,5,Nocturnal,n/a,3,0,0,3
QPB 11,2-Jul-19,1.00,B,1,11,Nocturnal,n/a,61,3,0,64
QPB 13,2-Jul-19,1.00,B,1,13,Nocturnal,n/a,7,4,0,11
QPA 1,11-Jul-19,10.00,A,2,1,Diurnal,n/a,65,12,0,77
QPA 1,11-Jul-19,10.00,A,2,1,Nocturnal,n/a,300,0,0,300
QPA 4,11-Jul-19,10.00,A,2,4,Nocturnal,n/a,30,5,1,36
QPA 4,11-Jul-19,10.00,A,2,4,Diurnal,n/a,19,4,0,23
QPA 5,11-Jul-19,10.00,A,2,4,Nocturnal,n/a,60,19,0,79
QPA 5,11-Jul-19,10.00,A,2,5,Diurnal,n/a,11,0,0,11
QPA 6,11-Jul-19,10.00,A,2,6,Nocturnal,n/a,52,15,2,69
QPA 6,11-Jul-19,10.00,A,2,6,Diurnal,n/a,15,2,0,17
QPA 7,11-Jul-19,10.00,A,2,7,Nocturnal,n/a,250,3,0,253
QPA 7,11-Jul-19,10.00,A,2,7,Diurnal,n/a,28,6,0,34
QPB 1,11-Jul-19,10.00,B,2,1,Diurnal,n/a,13,1,0,14
QPB 1,11-Jul-19,10.00,B,2,1,Nocturnal,n/a,81,17,0,98
QPB 2,11-Jul-19,10.00,B,2,2,Diurnal,n/a,43,1,0,44
QPB 2,11-Jul-19,10.00,B,2,2,Nocturnal,n/a,143,12,0,155
QPB 5,11-Jul-19,10.00,B,2,5,Diurnal,n/a,1,0,0,1
QPB 5,11-Jul-19,10.00,B,2,5,Nocturnal,n/a,5,1,0,6
QPB 11,11-Jul-19,10.00,B,2,11,Diurnal,n/a,10,1,0,11
QPB 11,11-Jul-19,10.00,B,2,11,Nocturnal,n/a,41,8,0,49
QPB 13,11-Jul-19,10.00,B,2,13,Diurnal,n/a,0,1,0,1
QPB 13,11-Jul-19,10.00,B,2,13,Nocturnal,n/a,6,2,0,8
QPA 1,16-Jul-19,15.00,A,3,1,Diurnal,Partly,29,10,0,39
QPA 4,16-Jul-19,15.00,A,3,4,Diurnal,Partly,8,0,0,8
QPA 5,16-Jul-19,15.00,A,3,5,Diurnal,Partly,12,4,0,16
QPA 6,16-Jul-19,15.00,A,3,6,Diurnal,Partly,12,7,0,19
QPA 7,16-Jul-19,15.00,A,3,7,Diurnal,Partly,21,8,0,29
QPB 1,16-Jul-19,15.00,B,3,1,Diurnal,Partly,5,3,0,8
QPB 2,16-Jul-19,15.00,B,3,2,Diurnal,Partly,18,2,0,20
QPB 5,16-Jul-19,15.00,B,3,5,Diurnal,Partly,0,0,0,0
QPB 11,16-Jul-19,15.00,B,3,11,Diurnal,Partly,15,0,0,15
QPB 13,16-Jul-19,15.00,B,3,13,Diurnal,Partly,0,0,0,0
QPA 1,22-Jul-19,21.00,A,4,1,Diurnal,sunny,33,5,0,38
QPA 4,22-Jul-19,21.00,A,4,4,Diurnal,sunny,7,0,0,7
QPA 5,22-Jul-19,21.00,A,4,5,Diurnal,sunny,29,6,0,35
QPA 6,22-Jul-19,21.00,A,4,6,Diurnal,sunny,17,3,0,20
QPA 7,22-Jul-19,21.00,A,4,7,Diurnal,sunny,0,0,0,0
QPB 1,22-Jul-19,21.00,B,4,1,Diurnal,Sunny,3,0,0,3
QPB 2,22-Jul-19,21.00,B,4,2,Diurnal,Sunny,20,1,0,21
QPB 5,22-Jul-19,21.00,B,4,5,Diurnal,Sunny,0,0,0,0
QPB 11,22-Jul-19,21.00,B,4,11,Diurnal,Sunny,5,1,0,6
QPB 13,22-Jul-19,21.00,B,4,13,Diurnal,Sunny,0,0,0,0
QPA 1,23-Jul-19,22.00,A,4,1,Nocturnal,n/a,300,2,0,302
QPA 4,23-Jul-19,22.00,A,4,4,Nocturnal,n/a,31,11,0,42
QPA 5,23-Jul-19,22.00,A,4,5,Nocturnal,n/a,80,18,0,98
QPA 6,23-Jul-19,22.00,A,4,6,Nocturnal,n/a,200,3,0,203
QPA 7,23-Jul-19,22.00,A,4,7,Nocturnal,n/a,200,1,0,201
QPB 1,23-Jul-19,22.00,B,4,1,Nocturnal,n/a,50,30,0,80
QPB 2,23-Jul-19,22.00,B,4,2,Nocturnal,n/a,101,22,0,123
QPB 5,23-Jul-19,22.00,B,4,5,Nocturnal,n/a,3,2,0,5
QPB 11,23-Jul-19,22.00,B,4,11,Nocturnal,n/a,50,10,0,60
QPB 13,23-Jul-19,22.00,B,4,13,Nocturnal,n/a,4,4,0,8
QPA 1,7-Aug-19,37.00,A,6,1,Diurnal,cloudy,33,4,0,37
QPA 1,7-Aug-19,37.00,A,6,1,Nocturnal,n/a,300,0,0,300
QPA 4,7-Aug-19,37.00,A,6,4,Diurnal,cloudy,4,0,0,4
QPA 4,7-Aug-19,37.00,A,6,4,Nocturnal,n/a,16,3,0,19
QPA 5,7-Aug-19,37.00,A,6,5,Diurnal,cloudy,6,0,0,6
QPA 5,7-Aug-19,37.00,A,6,5,Nocturnal,n/a,53,21,0,74
QPA 6,7-Aug-19,37.00,A,6,6,Diurnal,cloudy,16,6,0,22
QPA 6,7-Aug-19,37.00,A,6,6,Nocturnal,n/a,96,2,0,98
QPA 7,7-Aug-19,37.00,A,6,7,Diurnal,cloudy,0,0,0,0
QPA 7,7-Aug-19,37.00,A,6,7,Nocturnal,n/a,0,0,0,0
QPB 1,7-Aug-19,37.00,B,6,1,Diurnal,Cloudy ,0,0,0,0
QPB 1,7-Aug-19,37.00,B,6,1,Nocturnal,n/a,0,0,0,0
QPB 2,7-Aug-19,37.00,B,6,2,Diurnal,Cloudy ,7,4,0,11
QPB 2,7-Aug-19,37.00,B,6,2,Nocturnal,n/a,111,0,0,111
QPB 5,7-Aug-19,37.00,B,6,5,Diurnal,Cloudy ,1,0,0,1
QPB 5,7-Aug-19,37.00,B,6,5,Nocturnal,n/a,14,6,0,20
QPB 11,7-Aug-19,37.00,B,6,11,Diurnal,Cloudy ,6,0,0,6
QPB 11,7-Aug-19,37.00,B,6,11,Nocturnal,n/a,20,6,0,26
QPB 13,7-Aug-19,37.00,B,6,13,Diurnal,Cloudy ,0,0,0,0
QPB 13,7-Aug-19,37.00,B,6,13,Nocturnal,n/a,4,5,0,9
QPA 1,12-Aug-19,42.00,A,7,1,Diurnal,n/a,35,5,0,40
QPA 1,12-Aug-19,42.00,A,7,1,Nocturnal,n/a,0,0,0,0
QPA 4,12-Aug-19,42.00,A,7,4,Diurnal,n/a,13,1,0,14
QPA 4,12-Aug-19,42.00,A,7,1,Nocturnal,n/a,27,0,0,27
QPA 5,12-Aug-19,42.00,A,7,5,Diurnal,n/a,17,7,0,24
QPA 5,12-Aug-19,42.00,A,7,5,Nocturnal,n/a,4,0,0,4
QPA 6,12-Aug-19,42.00,A,7,6,Diurnal,n/a,7,3,0,10
QPA 6,12-Aug-19,42.00,A,7,6,Nocturnal,n/a,0,0,0,0
QPA 6,12-Aug-19,42.00,A,7,6,Diurnal,n/a,7,3,0,10
QPA 6,12-Aug-19,42.00,A,7,6,Nocturnal,n/a,0,0,0,0
QPA 7,12-Aug-19,42.00,A,7,7,Diurnal,n/a,0,0,0,0
QPA 7,12-Aug-19,42.00,A,7,7,Nocturnal,n/a,2,0,0,2
QPB 1,12-Aug-19,42.00,B,7,1,Diurnal,n/a,4,0,0,4
QPB 1,12-Aug-19,42.00,B,7,1,Nocturnal,n/a,28,0,0,28
QPB 2,12-Aug-19,42.00,B,7,2,Diurnal,n/a,10,4,0,14
QPB 2,12-Aug-19,42.00,B,7,2,Nocturnal,n/a,154,0,0,154
QPB 5,12-Aug-19,42.00,B,7,5,Diurnal,n/a,0,0,0,0
QPB 5,12-Aug-19,42.00,B,7,5,Nocturnal,n/a,10,0,0,10
QPB 11,12-Aug-19,42.00,B,7,11,Diurnal,n/a,6,0,0,6
QPB 11,12-Aug-19,42.00,B,7,11,Nocturnal,n/a,44,0,0,44
QPB 13,12-Aug-19,42.00,B,7,13,Diurnal,n/a,0,0,0,0
QPB 13,12-Aug-19,42.00,B,7,13,Nocturnal,n/a,7,0,0,7
